iter,best_f,elapsed_ms
1,5.748054992585501,0.7949
10,0.6645561047525738,2.4805
20,0.3711032357781495,3.0414
30,0.16150124058126714,3.6619
40,0.07250048060592142,4.2062
50,0.034242001598154846,4.7318
60,0.015253975836039147,5.2773
70,0.0057817889405690406,5.8169
80,0.003018377324852535,6.3727
90,0.0022095469278514846,6.9113
100,0.0012055158661530721,7.4544
110,0.0006952830554651585,7.9892
120,0.00028640129379997045,8.5288
130,0.00019697240100132292,9.0707
140,8.207956601880557E-05,9.6507
150,4.9381819938348426E-05,10.2985
160,2.6108400589195612E-05,10.8455
170,1.2287650944450212E-05,11.4017
180,6.085823658104961E-06,11.9597
190,3.2195438612831233E-06,12.5138
200,1.848732161517469E-06,13.0675
210,1.3162444450246834E-06,13.6217
220,7.844258543123102E-07,14.1797
230,3.834743973072199E-07,14.7221
240,2.0809408223245643E-07,15.269
250,7.506982387350162E-08,15.8176
260,3.935046213937636E-08,16.3589
270,2.1117628112125227E-08,16.8919
280,1.0339303996385502E-08,17.4418
290,5.948976391553021E-09,17.9976
300,2.773710880467497E-09,18.5373
310,1.8658629304855377E-09,19.0809
320,1.1526794746411703E-09,19.6406
330,7.584907543998922E-10,20.1809
340,3.4919599283347045E-10,20.7347
350,1.3629708187668432E-10,21.3055
360,8.152358106421987E-11,21.8473
370,3.0057739741962926E-11,22.3835
380,1.7185940362076916E-11,22.9378
390,9.603817960874607E-12,23.4854
400,5.584907641225312E-12,24.0317
410,2.715744520760278E-12,24.589
420,7.524944659967833E-13,25.1268
430,3.9240916095125487E-13,25.6709
440,2.354184774982342E-13,26.2234
450,1.2942879106693159E-13,26.777
460,6.02730986015855E-14,27.3188
470,2.3174250541009167E-14,27.8612
480,1.1389973880502538E-14,28.417
490,4.135811631657427E-15,28.9598
500,2.0851080124543617E-15,29.503
510,1.3851094512801107E-15,30.0469
520,8.003847073495519E-16,30.6177
530,2.7463384112345353E-16,31.1793
540,1.686832400417193E-16,31.7884
550,7.752305875868996E-17,32.3292
560,4.553173045453778E-17,32.8656
570,1.9768494402232285E-17,33.4163
580,9.8427894833009E-18,33.9587
590,5.305211037189253E-18,34.5885
600,2.292202168862903E-18,35.2238
610,1.0124814094068993E-18,35.763
620,4.702270239972982E-19,36.3057
630,1.3797300427818186E-19,36.8422
640,4.787087789215551E-20,37.3795
650,2.7030405407110146E-20,37.9148
660,1.2395050257494843E-20,38.4547
670,6.75736820502325E-21,39.0074
680,3.0078937197742698E-21,39.5535
690,1.6001754932653127E-21,40.0866
700,5.905746385896334E-22,40.6317
710,3.4143793862384243E-22,41.248
720,1.0848982070133853E-22,41.7863
730,6.353229787828227E-23,42.4157
740,2.975508906444378E-23,42.9693
750,1.498362745807062E-23,43.5091
760,8.591552571350076E-24,44.0481
770,4.6066905501400754E-24,44.589
780,2.6027445705595637E-24,45.1702
790,1.2810771800593832E-24,45.7222
800,7.485037659975896E-25,46.2817
810,3.8705839623321424E-25,46.8172
820,1.9572917503166163E-25,47.3618
830,1.4531090272411008E-25,47.8911
840,6.336652926984428E-26,48.4266
850,2.84351000671327E-26,48.9745
860,1.6565472744587288E-26,49.5147
870,6.68761112209352E-27,50.0564
880,4.081433781866042E-27,50.6001
890,2.521786410491952E-27,51.1488
900,1.5661959118345118E-27,51.7022
910,8.63394086881153E-28,52.2395
920,5.145506917588039E-28,52.7996
930,2.2854672594685743E-28,53.3538
940,9.413859280399529E-29,53.9156
950,4.968180227119471E-29,54.471
960,1.7327988110218875E-29,55.0106
970,7.266198745831808E-30,55.546
980,2.350638255428859E-30,56.0812
990,1.0144448789469031E-30,56.6607
1000,6.003912893674562E-31,57.1994
1010,2.970527052416041E-31,57.7467
1020,1.6097499538268244E-31,58.2859
1030,7.695647038648596E-32,58.841
1040,4.121595532560963E-32,59.3837
1050,1.878766074257543E-32,59.9333
1060,1.1037998644789885E-32,60.4958
1070,6.155429356217579E-33,61.0408
1080,2.1844817367988885E-33,61.6002
1090,9.38507366928883E-34,62.1451
1100,5.866130539209696E-34,62.6905
1110,2.5472250140190556E-34,63.2339
1120,1.47164816816683E-34,63.7735
1130,4.5345664636492367E-35,64.3199
1140,2.9119767498145885E-35,64.87
1150,1.0875150563521442E-35,65.4065
1160,5.844520865870845E-36,65.954
1170,2.9984150896314073E-36,66.4969
1180,1.7744673256036617E-36,67.0351
1190,7.708093345369434E-37,67.5819
1200,3.4596001579915887E-37,68.1253
1210,1.711420801933761E-37,68.6673
1220,7.784481377362917E-38,69.2124
1230,4.772654767030868E-38,69.7622
1240,2.2310680311957858E-38,70.307
1250,1.1296446398419739E-38,70.8515
1260,7.264291456109113E-39,71.4045
1270,4.458108305766071E-39,71.9532
1280,1.5577138942610035E-39,72.495
1290,5.859121178522062E-40,73.0291
1300,3.210577388745905E-40,73.5718
1310,1.5732323836705674E-40,74.118
1320,5.210723863346309E-41,74.6628
1330,2.9596725296734847E-41,75.2015
1340,1.5449571308525333E-41,75.7423
1350,7.678520017517872E-42,76.339
1360,2.65780105585966E-42,76.889
1370,1.286564201843019E-42,77.4309
1380,7.109685444358538E-43,77.9765
1390,4.09060688856089E-43,78.5182
1400,2.0971068313429027E-43,79.0502
1410,8.803477652297253E-44,79.5883
1420,3.652722245082309E-44,80.1289
1430,2.292292817337365E-44,80.6788
1440,1.4066863462707188E-44,81.2177
1450,7.341906438605637E-45,81.7629
1460,3.388044202321347E-45,82.2983
1470,1.8733059492916128E-45,82.8376
1480,6.3163997685305564E-46,83.3803
1490,3.070080484760957E-46,83.9189
1500,1.913460379581171E-46,84.5885
1510,1.0841231059594517E-46,85.1355
1520,5.493200885424726E-47,85.6791
1530,2.277307175261413E-47,86.2182
1540,1.2982429887388988E-47,86.8002
1550,5.225859275456538E-48,87.3497
1560,2.737736046196468E-48,87.8934
1570,1.805537377005813E-48,88.4377
1580,9.369251764400507E-49,88.9764
1590,6.0824286307561816E-49,89.5226
1600,3.48305656034524E-49,90.068
1610,2.027588226435805E-49,90.6124
1620,9.571308291137885E-50,91.1513
1630,3.4838048523283197E-50,91.7496
1640,1.5707676791727476E-50,92.302
1650,1.2639311901867297E-50,92.8406
1660,7.04636818187137E-51,93.3854
1670,3.7971029706791877E-51,93.9521
1680,8.934667150946493E-52,94.4894
1690,5.3589884167209055E-52,95.0282
1700,2.533777416448878E-52,95.6136
1710,8.46649913179986E-53,96.3381
1720,5.903271508841345E-53,96.9928
1730,2.320874921122053E-53,97.6381
1740,7.308568016939934E-54,98.183
1750,3.9581018588779275E-54,98.717
1760,2.1403613044094376E-54,99.2561
1770,8.61008307522759E-55,99.8015
1780,4.4050535360597146E-55,100.3381
1790,2.2408028847632558E-55,100.8916
1800,1.0078807651446149E-55,101.4341
1810,4.753798913447181E-56,101.9678
1820,1.9424181804547602E-56,102.5126
1830,1.0224132279318004E-56,103.0548
1840,5.483314899569645E-57,103.5875
1850,3.195937156031889E-57,104.203
1860,2.1131736981624133E-57,104.801
1870,9.77266846893497E-58,105.3313
1880,5.132258847478565E-58,105.8776
1890,3.0516962069937947E-58,106.429
1900,1.0241537634527736E-58,106.9849
1910,3.354845074675807E-59,107.5434
1920,2.3265566858940692E-59,108.0917
1930,1.1882599969978118E-59,108.727
1940,5.506929627781497E-60,109.2628
1950,2.8537546840361863E-60,109.8176
1960,1.3096989845346607E-60,110.3587
1970,6.071940798071816E-61,110.8959
1980,3.4397875575670236E-61,111.4443
1990,1.6750180777873307E-61,111.9761
2000,1.0859444519496559E-61,112.5089
